id,title,link,author,points,comments,posted_time
46617668,Roam 50GB is now Roam 100GB (starlink.com),vote?id=46617668&how=up&goto=news%3Fp%3D2,bahmboo,282 points,347 comments,1 day ago
46552534,How can I build a simple pulse generator to demonstrate transmission lines (electronics.stackexchange.com),vote?id=46552534&how=up&goto=news%3Fp%3D2,alphabetter,61 points,12 comments,17 hours ago
46633520,New Vulnerability in n8n – CVE-2026-21858 (schneier.com),vote?id=46633520&how=up&goto=news%3Fp%3D2,882542F3884314B,8 points,discuss,2 hours ago
46566974,Generate QR Codes with Pure SQL in PostgreSQL (tanelpoder.com),vote?id=46566974&how=up&goto=news%3Fp%3D2,tanelpoder,101 points,10 comments,19 hours ago
46602411,You need a kitchen slide rule (entropicthoughts.com),vote?id=46602411&how=up&goto=news%3Fp%3D2,aebtebeten,46 points,62 comments,15 hours ago
46632256,Is Fast Charging Killing the Battery? A 2-Year Test on 40 Phones [video] (youtube.com),vote?id=46632256&how=up&goto=news%3Fp%3D2,teekert,19 points,2 comments,3 hours ago
46618901,Ford F-150 Lightning outsold the Cybertruck and was then canceled for poor sales (electrek.co),vote?id=46618901&how=up&goto=news%3Fp%3D2,MBCook,635 points,880 comments,1 day ago
46618027,GitHub should charge everyone $1 more per month to fund open source (greg.technology),vote?id=46618027&how=up&goto=news%3Fp%3D2,evakhoury,298 points,306 comments,1 day ago
46620673,Native ZFS VDEV for Object Storage (OpenZFS Summit) (zettalane.com),vote?id=46620673&how=up&goto=news%3Fp%3D2,suprasam,113 points,31 comments,22 hours ago
46630369,Photos Capture the Breathtaking Scale of China's Wind and Solar Buildout (yale.edu),vote?id=46630369&how=up&goto=news%3Fp%3D2,mrtksn,297 points,267 comments,7 hours ago
46562371,MIT Whirlwind I: A High-Speed Electronic Digital Computer (1951) [pdf] (dome.mit.edu),vote?id=46562371&how=up&goto=news%3Fp%3D2,stmw,21 points,7 comments,15 hours ago
46624731,ChromaDB Explorer (chroma-explorer.com),vote?id=46624731&how=up&goto=news%3Fp%3D2,arsentjev,56 points,5 comments,18 hours ago
46626639,Ask HN: What is the best way to provide continuous context to models?,vote?id=46626639&how=up&goto=news%3Fp%3D2,nemath,58 points,35 comments,14 hours ago
46572307,Why some clothes shrink in the wash and how to unshrink them (swinburne.edu.au),vote?id=46572307&how=up&goto=news%3Fp%3D2,OptionOfT,511 points,270 comments,1 day ago
46611667,The Gleam Programming Language (gleam.run),vote?id=46611667&how=up&goto=news%3Fp%3D2,Alupis,262 points,161 comments,1 day ago
46591810,There's a ridiculous amount of tech in a disposable vape (jgc.org),vote?id=46591810&how=up&goto=news%3Fp%3D2,abnercoimbre,740 points,638 comments,1 day ago
46564818,Rubik's Cube in Prolog – Order (medium.com/kenichisasagawa),vote?id=46564818&how=up&goto=news%3Fp%3D2,myth_drannon,40 points,11 comments,18 hours ago
46614285,"System Programming in Linux: A Hands-On Introduction ""Demo"" Programs (github.com/stewartweiss)",vote?id=46614285&how=up&goto=news%3Fp%3D3,teleforce,117 points,7 comments,1 day ago
46617360,Find a pub that needs you (ismypubfucked.com),vote?id=46617360&how=up&goto=news%3Fp%3D3,thinkingemote,349 points,330 comments,1 day ago
46614558,I hate GitHub Actions with passion (xlii.space),vote?id=46614558&how=up&goto=news%3Fp%3D3,xlii,466 points,330 comments,1 day ago
46616496,Edge of Emulation: Game Boy Sewing Machines (2020) (shonumi.github.io),vote?id=46616496&how=up&goto=news%3Fp%3D3,mosura,116 points,7 comments,1 day ago
46630372,Simpler than Photoshop but for free AI Landscaping (hadaa.pro),vote?id=46630372&how=up&goto=news%3Fp%3D3,Fh_,5 points,5 comments,7 hours ago
46634092,"Wikipedia signs AI training deals with Microsoft, Meta, and Amazon (arstechnica.com)",vote?id=46634092&how=up&goto=news%3Fp%3D3,AdmiralAsshat,6 points,3 comments,1 hour ago
46616488,SparkFun Officially Dropping AdaFruit due to CoC Violation (sparkfun.com),vote?id=46616488&how=up&goto=news%3Fp%3D3,yaleman,493 points,511 comments,1 day ago
46623195,The Influentists: AI hype without proof (carette.xyz),vote?id=46623195&how=up&goto=news%3Fp%3D3,LucidLynx,242 points,165 comments,20 hours ago
46621945,Every country should set 16 as the minimum age for social media accounts (afterbabel.com),vote?id=46621945&how=up&goto=news%3Fp%3D3,paulpauper,232 points,294 comments,21 hours ago
46570811,"Ski map artist James Niehues, the 'Monet of the mountains' (2021) (adventure.com)",vote?id=46570811&how=up&goto=news%3Fp%3D3,gyomu,145 points,20 comments,22 hours ago
46618954,Eigent: An open source Claude Cowork alternative (github.com/eigent-ai),vote?id=46618954&how=up&goto=news%3Fp%3D3,WorldPeas,23 points,3 comments,13 hours ago
